13:17:10, 10.20%, 3%, 2.72 Gb, 0.32 Gb, 4.21 W
13:17:19, 20.49%, 4%, 3.78 Gb, 3.75 Gb, 10.80 W
13:17:19, 20.29%, 4%, 3.78 Gb, 3.75 Gb, 10.80 W
13:17:19, 20.62%, 4%, 3.78 Gb, 3.75 Gb, 10.80 W
13:17:19, 20.67%, 4%, 3.76 Gb, 3.75 Gb, 10.80 W
13:17:19, 21.71%, 4%, 3.72 Gb, 3.75 Gb, 10.80 W
13:17:19, 22.61%, 4%, 3.74 Gb, 3.75 Gb, 10.80 W
13:17:19, 24.42%, 4%, 3.74 Gb, 3.75 Gb, 10.82 W
13:17:19, 24.49%, 4%, 3.73 Gb, 3.75 Gb, 10.82 W
13:17:19, 24.72%, 1%, 3.74 Gb, 3.75 Gb, 10.82 W
13:17:19, 24.52%, 1%, 3.76 Gb, 3.75 Gb, 10.82 W
13:17:20, 24.62%, 1%, 3.75 Gb, 3.75 Gb, 10.83 W
13:17:20, 24.59%, 1%, 3.77 Gb, 3.75 Gb, 10.83 W
13:17:20, 24.67%, 1%, 3.77 Gb, 3.75 Gb, 10.83 W
13:17:20, 24.87%, 1%, 3.77 Gb, 3.75 Gb, 10.83 W
13:17:20, 24.81%, 1%, 3.80 Gb, 3.75 Gb, 10.88 W
13:17:20, 24.78%, 1%, 3.80 Gb, 3.75 Gb, 10.88 W
13:17:20, 24.94%, 2%, 3.79 Gb, 3.75 Gb, 10.88 W
Query 13 - Time: 411 ms
13:17:20, 24.79%, 2%, 3.78 Gb, 3.75 Gb, 10.88 W
13:17:20, 25.13%, 2%, 3.78 Gb, 3.75 Gb, 10.87 W
13:17:20, 25.44%, 2%, 3.78 Gb, 3.75 Gb, 10.87 W
13:17:20, 25.48%, 2%, 3.79 Gb, 3.75 Gb, 10.87 W
13:17:20, 25.30%, 2%, 3.79 Gb, 3.75 Gb, 10.87 W
13:17:20, 25.40%, 2%, 3.78 Gb, 3.75 Gb, 10.88 W
13:17:20, 25.60%, 2%, 3.76 Gb, 3.75 Gb, 10.88 W
13:17:20, 25.60%, 2%, 3.78 Gb, 3.75 Gb, 10.88 W
13:17:20, 25.49%, 2%, 3.79 Gb, 3.75 Gb, 10.88 W
13:17:20, 25.71%, 2%, 3.81 Gb, 3.75 Gb, 10.88 W
13:17:20, 25.77%, 2%, 3.82 Gb, 3.75 Gb, 10.88 W
13:17:20, 25.71%, 2%, 3.83 Gb, 3.75 Gb, 10.88 W
13:17:20, 25.80%, 2%, 3.81 Gb, 3.75 Gb, 10.88 W
13:17:20, 25.77%, 2%, 3.79 Gb, 3.75 Gb, 10.91 W
13:17:20, 25.83%, 2%, 3.80 Gb, 3.75 Gb, 10.91 W
13:17:20, 25.71%, 1%, 3.79 Gb, 3.75 Gb, 10.91 W
13:17:20, 25.58%, 1%, 3.77 Gb, 3.75 Gb, 10.91 W
13:17:20, 25.77%, 1%, 3.76 Gb, 3.75 Gb, 10.93 W
13:17:20, 25.57%, 1%, 3.75 Gb, 3.75 Gb, 10.93 W
Query 14 - Time:  ms
13:17:20, 25.73%, 1%, 3.75 Gb, 3.75 Gb, 10.93 W
13:17:20, 25.79%, 1%, 3.73 Gb, 3.75 Gb, 10.93 W
13:17:20, 26.01%, 1%, 3.72 Gb, 3.75 Gb, 10.90 W
13:17:20, 25.82%, 1%, 3.72 Gb, 3.75 Gb, 10.90 W
13:17:20, 25.90%, 2%, 3.72 Gb, 3.75 Gb, 10.90 W
13:17:20, 25.77%, 2%, 3.73 Gb, 3.75 Gb, 10.90 W
13:17:20, 25.65%, 2%, 3.72 Gb, 3.75 Gb, 10.91 W
Query 15 - Time:  ms
13:17:20, 24.81%, 2%, 3.72 Gb, 3.75 Gb, 10.91 W
13:17:20, 22.92%, 2%, 3.75 Gb, 3.75 Gb, 10.91 W
13:17:20, 22.58%, 2%, 3.74 Gb, 3.75 Gb, 10.91 W
13:17:20, 21.45%, 2%, 3.74 Gb, 3.75 Gb, 10.92 W
13:17:20, 21.28%, 1%, 3.76 Gb, 3.75 Gb, 10.92 W
13:17:20, 21.30%, 1%, 3.76 Gb, 3.75 Gb, 10.92 W
13:17:21, 21.16%, 1%, 3.74 Gb, 3.75 Gb, 10.92 W
13:17:21, 21.19%, 1%, 3.75 Gb, 3.75 Gb, 10.90 W
13:17:21, 21.06%, 1%, 3.74 Gb, 3.75 Gb, 10.90 W
13:17:21, 20.87%, 1%, 3.75 Gb, 3.75 Gb, 10.90 W
13:17:21, 21.01%, 1%, 3.75 Gb, 3.75 Gb, 10.90 W
13:17:21, 21.08%, 1%, 3.73 Gb, 3.75 Gb, 10.89 W
13:17:21, 20.97%, 0%, 3.72 Gb, 3.75 Gb, 10.89 W
13:17:21, 20.93%, 0%, 3.74 Gb, 3.75 Gb, 10.89 W
13:17:21, 20.59%, 0%, 3.74 Gb, 3.75 Gb, 10.89 W
13:17:21, 20.48%, 0%, 3.74 Gb, 3.75 Gb, 10.85 W
13:17:21, 20.23%, 0%, 3.73 Gb, 3.75 Gb, 10.85 W
13:17:21, 20.38%, 0%, 3.72 Gb, 3.75 Gb, 10.85 W
13:17:21, 20.34%, 0%, 3.72 Gb, 3.75 Gb, 10.85 W
13:17:21, 20.23%, 0%, 3.72 Gb, 3.75 Gb, 10.85 W
13:17:21, 20.18%, 0%, 3.72 Gb, 3.75 Gb, 10.85 W
13:17:21, 20.30%, 0%, 3.74 Gb, 3.75 Gb, 10.85 W
13:17:21, 20.25%, 0%, 3.75 Gb, 3.75 Gb, 10.85 W
13:17:21, 19.95%, 0%, 3.75 Gb, 3.75 Gb, 10.83 W
13:17:21, 19.96%, 0%, 3.74 Gb, 3.75 Gb, 10.83 W
13:17:21, 19.96%, 0%, 3.76 Gb, 3.75 Gb, 10.83 W
13:17:21, 19.97%, 0%, 3.78 Gb, 3.75 Gb, 10.90 W
13:17:21, 20.16%, 0%, 3.85 Gb, 3.75 Gb, 10.90 W
13:17:21, 20.13%, 12%, 3.89 Gb, 3.75 Gb, 10.90 W
13:17:21, 20.05%, 12%, 3.95 Gb, 3.75 Gb, 10.90 W
13:17:21, 19.91%, 12%, 3.97 Gb, 3.75 Gb, 10.89 W
13:17:21, 20.09%, 12%, 3.99 Gb, 3.75 Gb, 10.89 W
13:17:21, 19.97%, 12%, 3.98 Gb, 3.75 Gb, 10.89 W
13:17:21, 20.23%, 12%, 3.98 Gb, 3.75 Gb, 10.89 W
13:17:21, 19.94%, 12%, 3.99 Gb, 3.75 Gb, 10.89 W
13:17:21, 19.90%, 8%, 3.99 Gb, 3.75 Gb, 10.89 W
13:17:21, 20.03%, 8%, 3.98 Gb, 3.75 Gb, 10.89 W
13:17:21, 19.95%, 8%, 4.01 Gb, 3.75 Gb, 10.89 W
13:17:21, 20.10%, 8%, 4.03 Gb, 3.75 Gb, 10.88 W
13:17:21, 20.14%, 8%, 4.02 Gb, 3.75 Gb, 10.88 W
13:17:21, 19.91%, 8%, 4.03 Gb, 3.75 Gb, 10.88 W
13:17:21, 20.18%, 8%, 4.01 Gb, 3.75 Gb, 10.88 W
13:17:21, 20.20%, 8%, 4.03 Gb, 3.75 Gb, 10.88 W
13:17:21, 20.21%, 0%, 4.03 Gb, 3.75 Gb, 10.88 W
13:17:21, 20.10%, 0%, 4.03 Gb, 3.75 Gb, 10.88 W
13:17:22, 19.99%, 0%, 4.03 Gb, 3.75 Gb, 10.88 W
13:17:22, 20.14%, 0%, 4.05 Gb, 3.75 Gb, 10.86 W
13:17:22, 20.27%, 0%, 4.05 Gb, 3.75 Gb, 10.86 W
13:17:22, 20.29%, 0%, 4.05 Gb, 3.75 Gb, 10.86 W
13:17:22, 20.18%, 0%, 4.05 Gb, 3.75 Gb, 10.85 W
13:17:22, 20.25%, 0%, 4.05 Gb, 3.75 Gb, 10.85 W
13:17:22, 20.09%, 0%, 4.05 Gb, 3.75 Gb, 10.85 W
13:17:22, 20.10%, 0%, 4.05 Gb, 3.75 Gb, 10.85 W
13:17:22, 20.28%, 0%, 4.03 Gb, 3.75 Gb, 10.86 W
13:17:22, 20.23%, 0%, 4.03 Gb, 3.75 Gb, 10.86 W
13:17:22, 20.13%, 0%, 4.02 Gb, 3.75 Gb, 10.86 W
13:17:22, 20.28%, 0%, 4.02 Gb, 3.75 Gb, 10.86 W
13:17:22, 20.19%, 0%, 4.01 Gb, 3.75 Gb, 10.85 W
13:17:22, 20.14%, 0%, 4.00 Gb, 3.75 Gb, 10.85 W
13:17:22, 20.25%, 0%, 4.00 Gb, 3.75 Gb, 10.85 W
13:17:22, 20.29%, 0%, 3.99 Gb, 3.75 Gb, 10.85 W
13:17:22, 20.27%, 0%, 3.98 Gb, 3.75 Gb, 10.84 W
13:17:22, 20.47%, 0%, 3.98 Gb, 3.75 Gb, 10.84 W
13:17:22, 20.64%, 0%, 3.99 Gb, 3.75 Gb, 10.84 W
13:17:22, 20.47%, 0%, 4.01 Gb, 3.75 Gb, 10.84 W
13:17:22, 20.70%, 0%, 4.01 Gb, 3.75 Gb, 10.83 W
13:17:22, 20.44%, 0%, 3.99 Gb, 3.75 Gb, 10.83 W
13:17:22, 20.58%, 0%, 3.98 Gb, 3.75 Gb, 10.83 W
13:17:22, 20.60%, 0%, 3.99 Gb, 3.75 Gb, 10.83 W
13:17:22, 20.71%, 0%, 3.99 Gb, 3.75 Gb, 10.83 W
13:17:22, 20.52%, 0%, 4.00 Gb, 3.75 Gb, 10.83 W
13:17:22, 20.69%, 0%, 3.98 Gb, 3.75 Gb, 10.83 W
13:17:22, 20.62%, 0%, 3.98 Gb, 3.75 Gb, 10.83 W
13:17:22, 21.14%, 0%, 3.98 Gb, 3.75 Gb, 10.83 W
13:17:22, 20.97%, 0%, 3.98 Gb, 3.75 Gb, 10.83 W
13:17:22, 21.09%, 0%, 3.99 Gb, 3.75 Gb, 10.83 W
13:17:22, 21.10%, 0%, 3.99 Gb, 3.75 Gb, 10.83 W
13:17:22, 21.09%, 0%, 3.98 Gb, 3.75 Gb, 10.83 W
13:17:22, 21.15%, 0%, 3.98 Gb, 3.75 Gb, 10.83 W
13:17:22, 21.28%, 0%, 3.95 Gb, 3.75 Gb, 10.83 W
13:17:22, 21.28%, 0%, 3.97 Gb, 3.75 Gb, 10.83 W
13:17:22, 21.37%, 0%, 3.96 Gb, 3.75 Gb, 10.83 W
13:17:22, 21.46%, 0%, 3.95 Gb, 3.75 Gb, 10.83 W
13:17:22, 21.73%, 0%, 3.94 Gb, 3.75 Gb, 10.83 W
13:17:23, 21.82%, 0%, 3.94 Gb, 3.75 Gb, 10.83 W
13:17:23, 21.67%, 0%, 3.94 Gb, 3.75 Gb, 10.83 W
13:17:23, 21.69%, 0%, 3.94 Gb, 3.75 Gb, 10.83 W
13:17:23, 21.88%, 0%, 3.94 Gb, 3.75 Gb, 10.83 W
13:17:23, 21.83%, 0%, 3.94 Gb, 3.75 Gb, 10.83 W
13:17:23, 22.12%, 0%, 3.94 Gb, 3.75 Gb, 10.83 W
13:17:23, 22.08%, 0%, 3.97 Gb, 3.75 Gb, 10.83 W
13:17:23, 22.12%, 0%, 3.95 Gb, 3.75 Gb, 10.83 W
13:17:23, 22.27%, 0%, 3.95 Gb, 3.75 Gb, 10.83 W
13:17:23, 22.35%, 0%, 3.97 Gb, 3.75 Gb, 10.83 W
13:17:23, 22.48%, 0%, 3.97 Gb, 3.75 Gb, 10.83 W
13:17:23, 22.70%, 0%, 3.99 Gb, 3.75 Gb, 10.83 W
13:17:23, 22.59%, 0%, 4.00 Gb, 3.75 Gb, 10.83 W
13:17:23, 22.73%, 0%, 3.99 Gb, 3.75 Gb, 10.83 W
13:17:23, 22.70%, 0%, 4.00 Gb, 3.75 Gb, 10.83 W
13:17:23, 22.91%, 0%, 4.01 Gb, 3.75 Gb, 10.83 W
13:17:23, 22.83%, 0%, 4.01 Gb, 3.75 Gb, 10.83 W
13:17:23, 23.03%, 0%, 4.02 Gb, 3.75 Gb, 10.83 W
13:17:23, 23.10%, 0%, 4.02 Gb, 3.75 Gb, 10.83 W
13:17:23, 23.18%, 0%, 4.03 Gb, 3.75 Gb, 10.83 W
13:17:23, 23.27%, 0%, 3.90 Gb, 3.75 Gb, 10.83 W
Query 16 - Time: 2404 ms
13:17:23, 23.26%, 0%, 3.77 Gb, 3.75 Gb, 10.62 W
13:17:23, 23.30%, 0%, 3.74 Gb, 3.75 Gb, 10.62 W
13:17:23, 23.38%, 0%, 3.73 Gb, 3.75 Gb, 10.62 W
13:17:23, 23.22%, 0%, 3.71 Gb, 3.75 Gb, 10.63 W
13:17:23, 23.14%, 0%, 3.71 Gb, 3.75 Gb, 10.63 W
13:17:23, 23.21%, 0%, 3.71 Gb, 3.75 Gb, 10.63 W
13:17:23, 22.98%, 0%, 3.70 Gb, 3.75 Gb, 10.63 W
13:17:23, 22.78%, 0%, 3.70 Gb, 3.75 Gb, 10.63 W
13:17:23, 22.82%, 0%, 3.68 Gb, 3.75 Gb, 10.63 W
13:17:23, 22.76%, 1%, 3.70 Gb, 3.75 Gb, 10.63 W
13:17:23, 23.41%, 1%, 3.69 Gb, 3.75 Gb, 10.63 W
13:17:23, 23.39%, 1%, 3.71 Gb, 3.75 Gb, 10.63 W
13:17:23, 23.48%, 1%, 3.71 Gb, 3.75 Gb, 10.63 W
13:17:23, 23.57%, 1%, 3.73 Gb, 3.75 Gb, 10.63 W
13:17:23, 23.77%, 1%, 3.77 Gb, 3.75 Gb, 10.63 W
13:17:23, 23.60%, 1%, 3.78 Gb, 3.75 Gb, 10.76 W
13:17:23, 23.53%, 5%, 3.78 Gb, 3.75 Gb, 10.76 W
13:17:23, 23.47%, 5%, 3.77 Gb, 3.75 Gb, 10.76 W
13:17:24, 23.56%, 5%, 3.76 Gb, 3.75 Gb, 10.76 W
13:17:24, 23.30%, 5%, 3.75 Gb, 3.75 Gb, 10.76 W
13:17:24, 23.31%, 5%, 3.75 Gb, 3.75 Gb, 10.76 W
13:17:24, 23.15%, 5%, 3.74 Gb, 3.75 Gb, 10.76 W
13:17:24, 23.06%, 5%, 3.74 Gb, 3.75 Gb, 10.76 W
13:17:24, 23.25%, 5%, 3.74 Gb, 3.75 Gb, 10.76 W
13:17:24, 22.95%, 0%, 3.73 Gb, 3.75 Gb, 10.76 W
13:17:24, 22.95%, 0%, 3.73 Gb, 3.75 Gb, 10.76 W
13:17:24, 23.63%, 0%, 3.74 Gb, 3.75 Gb, 10.76 W
13:17:24, 23.76%, 0%, 3.74 Gb, 3.75 Gb, 10.76 W
13:17:24, 23.49%, 0%, 3.75 Gb, 3.75 Gb, 10.76 W
13:17:24, 23.67%, 0%, 3.75 Gb, 3.75 Gb, 10.76 W
13:17:24, 23.40%, 0%, 3.75 Gb, 3.75 Gb, 10.80 W
13:17:24, 23.38%, 0%, 3.75 Gb, 3.75 Gb, 10.80 W
13:17:24, 23.96%, 2%, 3.78 Gb, 3.75 Gb, 10.80 W
13:17:24, 23.90%, 2%, 3.78 Gb, 3.75 Gb, 10.80 W
13:17:24, 23.72%, 2%, 3.78 Gb, 3.75 Gb, 10.80 W
13:17:24, 23.61%, 2%, 3.78 Gb, 3.75 Gb, 10.80 W
13:17:24, 23.63%, 2%, 3.78 Gb, 3.75 Gb, 10.80 W
13:17:24, 23.44%, 2%, 3.78 Gb, 3.75 Gb, 10.80 W
13:17:24, 23.49%, 2%, 3.78 Gb, 3.75 Gb, 10.82 W
13:17:24, 23.48%, 2%, 3.78 Gb, 3.75 Gb, 10.82 W
13:17:24, 23.21%, 2%, 3.76 Gb, 3.75 Gb, 10.82 W
13:17:24, 23.24%, 2%, 3.75 Gb, 3.75 Gb, 10.82 W
13:17:24, 23.22%, 2%, 3.74 Gb, 3.75 Gb, 11.00 W
13:17:24, 23.19%, 2%, 3.74 Gb, 3.75 Gb, 11.00 W
Query 17 - Time: 961 ms
13:17:24, 23.29%, 2%, 3.75 Gb, 3.75 Gb, 11.00 W
13:17:24, 23.22%, 2%, 3.75 Gb, 3.75 Gb, 11.00 W
13:17:24, 23.38%, 2%, 3.75 Gb, 3.75 Gb, 11.02 W
13:17:24, 23.38%, 2%, 3.76 Gb, 3.75 Gb, 11.02 W
13:17:24, 23.20%, 1%, 3.76 Gb, 3.75 Gb, 11.02 W
13:17:24, 22.78%, 1%, 3.76 Gb, 3.75 Gb, 11.02 W
13:17:24, 22.47%, 1%, 3.77 Gb, 3.75 Gb, 11.02 W
13:17:24, 22.13%, 1%, 3.76 Gb, 3.75 Gb, 11.02 W
13:17:24, 21.91%, 1%, 3.79 Gb, 3.75 Gb, 11.02 W
13:17:24, 21.79%, 1%, 3.77 Gb, 3.75 Gb, 11.02 W
13:17:24, 22.05%, 1%, 3.77 Gb, 3.75 Gb, 11.04 W
13:17:24, 21.83%, 1%, 3.77 Gb, 3.75 Gb, 11.04 W
13:17:24, 21.77%, 0%, 3.77 Gb, 3.75 Gb, 11.04 W
13:17:25, 21.73%, 0%, 3.77 Gb, 3.75 Gb, 11.04 W
13:17:25, 21.73%, 0%, 3.78 Gb, 3.75 Gb, 10.92 W
13:17:25, 21.82%, 0%, 3.79 Gb, 3.75 Gb, 10.92 W
13:17:25, 21.88%, 0%, 3.82 Gb, 3.75 Gb, 10.93 W
13:17:25, 21.84%, 0%, 3.82 Gb, 3.75 Gb, 10.93 W
13:17:25, 23.18%, 8%, 3.84 Gb, 3.75 Gb, 10.93 W
13:17:25, 24.56%, 8%, 3.82 Gb, 3.75 Gb, 10.93 W
13:17:25, 26.69%, 8%, 3.83 Gb, 3.75 Gb, 10.93 W
13:17:25, 26.47%, 8%, 3.85 Gb, 3.75 Gb, 10.93 W
13:17:25, 26.03%, 8%, 3.88 Gb, 3.75 Gb, 10.92 W
13:17:25, 26.20%, 8%, 3.88 Gb, 3.75 Gb, 10.92 W
13:17:25, 26.28%, 8%, 3.87 Gb, 3.75 Gb, 10.92 W
13:17:25, 26.21%, 8%, 3.87 Gb, 3.75 Gb, 10.92 W
13:17:25, 27.77%, 8%, 3.86 Gb, 3.75 Gb, 10.92 W
13:17:25, 27.21%, 7%, 3.88 Gb, 3.75 Gb, 10.92 W
13:17:25, 27.46%, 7%, 3.91 Gb, 3.75 Gb, 10.92 W
13:17:25, 27.43%, 7%, 3.93 Gb, 3.75 Gb, 10.91 W
13:17:25, 28.91%, 7%, 3.97 Gb, 3.75 Gb, 10.91 W
13:17:25, 30.16%, 7%, 3.97 Gb, 3.75 Gb, 10.91 W
13:17:25, 30.54%, 7%, 3.98 Gb, 3.75 Gb, 10.91 W
13:17:25, 30.66%, 7%, 3.99 Gb, 3.75 Gb, 10.92 W
13:17:25, 30.55%, 7%, 4.01 Gb, 3.75 Gb, 10.92 W
13:17:25, 30.60%, 13%, 4.01 Gb, 3.75 Gb, 10.92 W
13:17:25, 30.60%, 13%, 4.01 Gb, 3.75 Gb, 10.92 W
13:17:25, 30.66%, 13%, 4.00 Gb, 3.75 Gb, 10.93 W
13:17:25, 30.86%, 13%, 4.08 Gb, 3.75 Gb, 10.93 W
13:17:25, 30.73%, 13%, 4.12 Gb, 3.75 Gb, 10.93 W
13:17:25, 30.73%, 13%, 4.17 Gb, 3.75 Gb, 10.93 W
13:17:25, 30.50%, 13%, 4.20 Gb, 3.75 Gb, 10.97 W
13:17:25, 30.59%, 13%, 4.26 Gb, 3.75 Gb, 10.97 W
13:17:25, 30.65%, 22%, 4.28 Gb, 3.75 Gb, 10.97 W
13:17:25, 30.64%, 22%, 4.29 Gb, 3.75 Gb, 10.97 W
13:17:25, 30.59%, 22%, 4.21 Gb, 3.75 Gb, 10.96 W
13:17:25, 30.67%, 22%, 4.00 Gb, 3.75 Gb, 10.96 W
13:17:25, 32.10%, 22%, 4.02 Gb, 3.75 Gb, 10.96 W
13:17:25, 32.49%, 22%, 4.02 Gb, 3.75 Gb, 10.96 W
13:17:25, 32.41%, 22%, 4.02 Gb, 3.75 Gb, 10.97 W
13:17:25, 32.30%, 5%, 4.02 Gb, 3.75 Gb, 10.97 W
13:17:25, 32.14%, 5%, 4.02 Gb, 3.75 Gb, 10.97 W
Query 18 - Time: 1124 ms
13:17:26, 32.15%, 5%, 4.02 Gb, 3.75 Gb, 10.97 W
13:17:26, 32.07%, 5%, 4.02 Gb, 3.75 Gb, 10.99 W
13:17:26, 32.24%, 5%, 3.90 Gb, 3.75 Gb, 10.99 W
13:17:26, 32.35%, 5%, 3.91 Gb, 3.75 Gb, 10.99 W
13:17:26, 32.26%, 5%, 3.92 Gb, 3.75 Gb, 10.99 W
13:17:26, 31.32%, 5%, 3.92 Gb, 3.75 Gb, 10.96 W
13:17:26, 28.48%, 1%, 3.91 Gb, 3.75 Gb, 10.96 W
13:17:26, 27.20%, 1%, 3.89 Gb, 3.75 Gb, 10.96 W
13:17:26, 26.87%, 1%, 3.89 Gb, 3.75 Gb, 10.95 W
13:17:26, 26.83%, 1%, 3.87 Gb, 3.75 Gb, 10.95 W
13:17:26, 26.86%, 1%, 3.87 Gb, 3.75 Gb, 10.95 W
13:17:26, 27.07%, 1%, 3.87 Gb, 3.75 Gb, 10.95 W
13:17:26, 27.15%, 1%, 3.87 Gb, 3.75 Gb, 10.96 W
13:17:26, 25.55%, 1%, 3.88 Gb, 3.75 Gb, 10.96 W
13:17:26, 25.44%, 0%, 3.88 Gb, 3.75 Gb, 10.96 W
13:17:26, 25.13%, 0%, 3.87 Gb, 3.75 Gb, 10.96 W
13:17:26, 25.22%, 0%, 3.86 Gb, 3.75 Gb, 11.02 W
Query 19 - Time: 231 ms
13:17:26, 22.97%, 0%, 3.86 Gb, 3.75 Gb, 11.02 W
13:17:26, 21.84%, 0%, 3.86 Gb, 3.75 Gb, 11.02 W
13:17:26, 22.05%, 0%, 3.85 Gb, 3.75 Gb, 11.02 W
13:17:26, 21.92%, 0%, 3.87 Gb, 3.75 Gb, 11.16 W
13:17:26, 21.88%, 0%, 3.88 Gb, 3.75 Gb, 11.16 W
13:17:26, 21.90%, 7%, 3.86 Gb, 3.75 Gb, 11.16 W
13:17:26, 21.81%, 7%, 3.87 Gb, 3.75 Gb, 11.16 W
13:17:26, 21.63%, 7%, 3.86 Gb, 3.75 Gb, 11.15 W
13:17:26, 21.70%, 7%, 3.86 Gb, 3.75 Gb, 11.15 W
13:17:26, 21.78%, 7%, 3.88 Gb, 3.75 Gb, 11.15 W
13:17:26, 22.57%, 7%, 3.89 Gb, 3.75 Gb, 11.15 W
13:17:26, 23.04%, 7%, 3.90 Gb, 3.75 Gb, 11.06 W
13:17:26, 23.94%, 0%, 3.91 Gb, 3.75 Gb, 11.06 W
13:17:26, 23.94%, 0%, 3.91 Gb, 3.75 Gb, 11.06 W
13:17:26, 24.26%, 0%, 3.91 Gb, 3.75 Gb, 11.06 W
13:17:26, 24.21%, 0%, 3.91 Gb, 3.75 Gb, 11.02 W
13:17:26, 23.63%, 0%, 3.92 Gb, 3.75 Gb, 11.02 W
13:17:26, 22.67%, 0%, 3.92 Gb, 3.75 Gb, 11.02 W
13:17:26, 22.59%, 0%, 3.97 Gb, 3.75 Gb, 11.11 W
13:17:26, 22.61%, 0%, 4.00 Gb, 3.75 Gb, 11.11 W
13:17:26, 22.64%, 16%, 4.05 Gb, 3.75 Gb, 11.11 W
13:17:26, 22.62%, 16%, 4.09 Gb, 3.75 Gb, 11.11 W
13:17:27, 22.78%, 16%, 4.12 Gb, 3.75 Gb, 11.12 W
13:17:27, 22.66%, 16%, 4.11 Gb, 3.75 Gb, 11.12 W
13:17:27, 22.58%, 16%, 3.98 Gb, 3.75 Gb, 11.12 W
13:17:27, 22.50%, 16%, 3.91 Gb, 3.75 Gb, 11.12 W
13:17:27, 22.52%, 16%, 3.92 Gb, 3.75 Gb, 11.10 W
13:17:27, 22.70%, 16%, 3.94 Gb, 3.75 Gb, 11.10 W
13:17:27, 22.92%, 6%, 3.94 Gb, 3.75 Gb, 11.10 W
13:17:27, 22.78%, 6%, 3.93 Gb, 3.75 Gb, 11.10 W
13:17:27, 22.78%, 6%, 3.94 Gb, 3.75 Gb, 11.17 W
13:17:27, 22.86%, 6%, 3.94 Gb, 3.75 Gb, 11.17 W
13:17:27, 22.50%, 6%, 3.93 Gb, 3.75 Gb, 11.17 W
13:17:27, 22.35%, 6%, 3.93 Gb, 3.75 Gb, 11.17 W
13:17:27, 22.33%, 6%, 3.90 Gb, 3.75 Gb, 11.16 W
13:17:27, 22.42%, 6%, 3.90 Gb, 3.75 Gb, 11.16 W
13:17:27, 22.33%, 4%, 3.92 Gb, 3.75 Gb, 11.16 W
13:17:27, 22.60%, 4%, 3.91 Gb, 3.75 Gb, 11.16 W
13:17:27, 22.74%, 4%, 3.91 Gb, 3.75 Gb, 11.23 W
13:17:27, 22.81%, 4%, 3.91 Gb, 3.75 Gb, 11.23 W
13:17:27, 22.92%, 4%, 3.94 Gb, 3.75 Gb, 11.23 W
13:17:27, 22.78%, 4%, 3.92 Gb, 3.75 Gb, 11.23 W
13:17:27, 22.70%, 4%, 3.93 Gb, 3.75 Gb, 11.25 W
13:17:27, 23.39%, 4%, 3.91 Gb, 3.75 Gb, 11.25 W
13:17:27, 23.70%, 8%, 3.92 Gb, 3.75 Gb, 11.25 W
13:17:27, 23.82%, 8%, 3.90 Gb, 3.75 Gb, 11.25 W
13:17:27, 23.74%, 8%, 3.91 Gb, 3.75 Gb, 11.07 W
13:17:27, 23.73%, 8%, 3.91 Gb, 3.75 Gb, 11.07 W
13:17:27, 23.44%, 8%, 3.94 Gb, 3.75 Gb, 11.07 W
13:17:27, 23.11%, 8%, 3.94 Gb, 3.75 Gb, 11.07 W
13:17:27, 22.38%, 8%, 3.95 Gb, 3.75 Gb, 11.10 W
13:17:27, 22.12%, 8%, 3.95 Gb, 3.75 Gb, 11.10 W
13:17:27, 21.80%, 3%, 3.97 Gb, 3.75 Gb, 11.10 W
13:17:27, 21.73%, 3%, 3.98 Gb, 3.75 Gb, 11.10 W
13:17:27, 21.69%, 3%, 3.96 Gb, 3.75 Gb, 11.12 W
13:17:27, 21.59%, 3%, 3.96 Gb, 3.75 Gb, 11.12 W
13:17:27, 21.64%, 3%, 3.97 Gb, 3.75 Gb, 11.12 W
13:17:27, 21.50%, 3%, 3.96 Gb, 3.75 Gb, 11.12 W
13:17:27, 21.54%, 3%, 3.96 Gb, 3.75 Gb, 11.13 W
13:17:27, 21.43%, 2%, 3.96 Gb, 3.75 Gb, 11.13 W
13:17:27, 21.79%, 2%, 3.96 Gb, 3.75 Gb, 11.13 W
13:17:28, 21.69%, 2%, 3.89 Gb, 3.75 Gb, 11.13 W
13:17:28, 21.74%, 2%, 3.91 Gb, 3.75 Gb, 11.03 W
13:17:28, 21.63%, 2%, 3.88 Gb, 3.75 Gb, 11.03 W
13:17:28, 21.75%, 2%, 3.89 Gb, 3.75 Gb, 11.03 W
13:17:28, 21.67%, 2%, 3.90 Gb, 3.75 Gb, 11.03 W
Query 20 - Time: 1497 ms
13:17:28, 21.63%, 2%, 3.92 Gb, 3.75 Gb, 11.02 W
13:17:28, 21.51%, 1%, 3.85 Gb, 3.75 Gb, 11.02 W
13:17:28, 21.77%, 1%, 3.84 Gb, 3.75 Gb, 11.02 W
13:17:28, 21.74%, 1%, 3.85 Gb, 3.75 Gb, 11.02 W
13:17:28, 21.78%, 1%, 3.86 Gb, 3.75 Gb, 11.02 W
13:17:28, 21.63%, 1%, 3.85 Gb, 3.75 Gb, 11.02 W
13:17:28, 21.67%, 1%, 3.86 Gb, 3.75 Gb, 11.02 W
13:17:28, 21.48%, 1%, 3.85 Gb, 3.75 Gb, 11.02 W
13:17:28, 21.72%, 1%, 3.85 Gb, 3.75 Gb, 10.94 W
13:17:28, 21.59%, 1%, 3.84 Gb, 3.75 Gb, 10.94 W
Query 21 - Time:  ms
